particle_id,lag_s,start_index,end_index,sample_t_start_s,sample_t_end_s,pair_t_end_s,n_displacements,n_coordinate_points,x_mean_um,x2_mean_um2,x_variance_um2,D_um2_s,k_B_J_K,relative_error_pct,k_B_slip_corrected_J_K,slip_corrected_relative_error_pct,selection_score,selection_strategy,selection_objective,target_abs_error_pct,candidate_rank,lag_candidates_evaluated
particle1,0.49999999999998934,4040,4790,404.0,478.5,479.0,150,151,-0.09234666666666669,19.245198846,19.236670939155562,19.24519884600041,1.4220157487647744e-23,2.996181416476909,1.2609450148977653e-23,-8.670124347479682,0.06205132582191513,target_kb,0.004439096781310208,2.996181416476909,1,3
particle1,0.9999999999999787,490,1990,49.0,198.0,199.0,150,151,0.5234666666666666,38.49470414546666,38.22068679435555,19.247352072733744,1.4221748493461694e-23,3.0077050246781996,1.2610860942670701e-23,-8.65990601035672,0.1121819892738277,target_kb,0.008826844570937834,3.0077050246781996,2,3
particle1,1.599999999999966,1841,4241,184.1,422.5,424.1,150,151,-0.07046666666666682,61.58142505987333,61.57645950876222,19.24419533121083,1.421941599682381e-23,2.99081082030125,1.2608792646303127e-23,-8.67488661996549,0.028786323260034493,target_kb,0.00947704293135056,2.99081082030125,3,3
particle2,0.4999999999999716,1789,2539,178.9,253.4,253.9,150,151,-0.021599999999999973,17.458061226666672,17.457594666666676,17.458061226667663,1.421747423272731e-23,2.976746680201198,1.2740836393098818e-23,-7.718497655096866,0.14063351904000074,target_kb,0.02465965498920208,2.976746680201198,3,3
particle2,0.9999999999999432,227,1727,22.7,171.7,172.7,150,151,-0.3184066666666666,34.92473868266661,34.823355877288826,17.462369341334295,1.4220982669802267e-23,3.002158186492481,1.274398044119314e-23,-7.6957254074486725,0.22028787356487592,target_kb,0.004361065228129877,3.002158186492481,2,3
particle2,1.599999999999909,44,2444,4.4,242.8,244.4,150,151,-0.6189999999999999,55.878023538133334,55.49486253813333,17.46188235566766,1.4220586079019523e-23,2.9992856911461367,1.274362504063498e-23,-7.698299563212816,0.20724433114700014,target_kb,0.002786752165333256,2.9992856911461367,1,3
particle3,0.4999999999999716,1962,2712,196.2,270.7,271.2,150,151,0.03926666666666666,15.752870768814816,15.7513288977037,15.752870768815711,1.4220919308834162e-23,3.0016992648686327,1.2874823943559674e-23,-6.748029777592469,0.15581859233631234,target_kb,0.003257450791995823,3.0016992648686327,1,3
particle3,0.9999999999999432,818,2318,81.8,230.8,231.8,150,151,0.1721333333333334,31.504187561066665,31.47455767662223,15.752093780534228,1.4220217881912236e-23,2.996618850353967,1.287418891090581e-23,-6.752629300381131,0.17400481030025994,target_kb,0.005121197749035577,2.996618850353967,2,3
particle3,1.599999999999909,211,2611,21.1,259.5,261.1,150,151,0.45439999999999997,50.387736884592606,50.1812575245926,15.746167776436085,1.421486817598623e-23,2.9578710880624275,1.2869345586754161e-23,-6.787709354411149,0.20886032451369976,target_kb,0.044217515182709506,2.9578710880624275,3,3
particle4,0.5000000000000071,4591,5341,459.1,533.6,534.1,150,151,-0.0756666666666666,16.446502000000002,16.440776555555555,16.446501999999768,1.4220589862889812e-23,2.9993130976070748,1.2821059460105797e-23,-7.137444346059018,0.4302539185079144,target_kb,0.004989441578004381,2.9993130976070748,1,3
particle4,1.0000000000000142,2639,4139,263.9,412.9,413.9,150,151,0.04393333333333336,32.89763533333334,32.89570519555556,16.44881766666644,1.4222592121237872e-23,3.013815395787567,1.2822864664642492e-23,-7.124369302824316,0.418072624193458,target_kb,0.017996122029501432,3.013815395787567,2,3
particle4,1.6000000000000227,1972,4372,197.2,435.6,437.2,150,151,0.8722666666666666,52.63835466666666,51.87750552888889,16.449485833333096,1.4223169856498937e-23,3.01799991524954,1.2823385541638858e-23,-7.1205966060971555,0.5235544469774966,target_kb,0.023235459719314778,3.01799991524954,3,3
particle5,0.5000000000000071,2850,3600,285.0,359.5,360.0,150,151,-0.10987333333333338,19.200187186021047,19.188115036643268,19.200187186020774,1.4219969298796542e-23,2.9948183701762088,1.261260574618975e-23,-8.647268449911966,0.07941738974353287,target_kb,0.005975803721226552,2.9948183701762088,1,3
particle5,1.0000000000000142,4090,5590,409.0,558.0,559.0,150,151,-0.8043999999999999,38.399248,37.752188640000014,19.19962399999973,1.4219552194116722e-23,2.991797293278169,1.2612235789210877e-23,-8.64994803740215,0.17968565985892848,target_kb,0.009999563320420384,2.991797293278169,2,3
particle5,1.6000000000000227,1121,3521,112.1,350.5,352.1,150,151,-0.19998000000000007,61.44962033369918,61.40962833329917,19.20300635428072,1.422205722042544e-23,3.0099411249741226,1.261445765822844e-23,-8.63385510561744,0.06584573829868268,target_kb,0.010599582357109411,3.0099411249741226,3,3
