particle_id,analysis_index,t,y,source_index,y_m,is_valid_freefall
particle2,0,6.3,0.0771,0,7.71e-05,False
particle2,1,6.4,0.07382,1,7.382e-05,False
particle2,2,6.5,0.0689,2,6.890000000000001e-05,False
particle2,3,6.6,0.06267,3,6.267000000000001e-05,False
particle2,4,6.7,0.05788,4,5.788e-05,False
particle2,5,6.8,0.05298,5,5.298e-05,False
particle2,6,6.9,0.04813,6,4.813e-05,False
particle2,7,7.0,0.03934,7,3.934e-05,False
particle2,8,7.1,0.03424,8,3.424e-05,False
particle2,9,7.2,0.03089,9,3.0890000000000004e-05,False
particle2,10,7.3,0.02034,10,2.0340000000000002e-05,False
particle2,11,7.4,0.01317,11,1.317e-05,False
particle2,12,7.5,0.001859,12,1.8590000000000001e-06,False
particle2,13,7.6,-0.006475,13,-6.475e-06,False
particle2,14,7.7,-0.008261,14,-8.261e-06,False
particle2,15,7.8,-0.01005,15,-1.005e-05,False
particle2,16,7.9,-0.01243,16,-1.243e-05,False
particle2,17,8.0,-0.01836,17,-1.836e-05,False
particle2,18,8.1,-0.02013,18,-2.013e-05,False
particle2,19,8.2,-0.02578,19,-2.578e-05,False
particle2,20,8.3,-0.03078,20,-3.078e-05,False
particle2,21,8.4,-0.04057,21,-4.057e-05,False
particle2,22,8.5,-0.04885,22,-4.885e-05,False
particle2,23,8.6,-0.05707,23,-5.707e-05,False
particle2,24,8.7,-0.06329,24,-6.329e-05,False
particle2,25,8.8,-0.06794,25,-6.794e-05,False
particle2,26,8.9,-0.07498,26,-7.498e-05,False
particle2,27,9.0,-0.106,27,-0.000106,True
particle2,28,9.1,-0.08174,28,-8.174e-05,False
particle2,29,9.2,-0.08681,29,-8.681e-05,False
particle2,30,9.3,-0.09326,30,-9.326e-05,False
particle2,31,9.4,-0.101,31,-0.000101,True
particle2,32,9.5,-0.106,32,-0.000106,True
particle2,33,9.6,-0.111,33,-0.000111,True
particle2,34,9.7,-0.119,34,-0.00011899999999999999,True
particle2,35,9.8,-0.125,35,-0.000125,True
particle2,36,9.9,-0.13,36,-0.00013000000000000002,True
particle2,37,10.0,-0.135,37,-0.000135,True
particle2,38,10.1,-0.141,38,-0.00014099999999999998,True
particle2,39,10.2,-0.149,39,-0.000149,True
particle2,40,10.3,-0.154,40,-0.000154,True
particle2,41,10.4,-0.159,41,-0.00015900000000000002,True
particle2,42,10.5,-0.167,42,-0.00016700000000000002,True
particle2,43,10.6,-0.173,43,-0.000173,True
particle2,44,10.7,-0.18,44,-0.00017999999999999998,True
particle2,45,10.8,-0.181,45,-0.000181,True
particle2,46,10.9,-0.185,46,-0.000185,True
particle2,47,11.0,-0.195,47,-0.00019500000000000002,True
particle2,48,11.1,-0.201,48,-0.000201,True
particle2,49,11.2,-0.209,49,-0.00020899999999999998,True
particle2,50,11.3,-0.214,50,-0.000214,True
particle2,51,11.4,-0.218,51,-0.000218,True
particle2,52,11.5,-0.222,52,-0.000222,True
particle2,53,11.6,-0.227,53,-0.00022700000000000002,True
particle2,54,11.7,-0.232,54,-0.00023200000000000003,True
particle2,55,11.8,-0.236,55,-0.000236,True
particle2,56,11.9,-0.242,56,-0.000242,True
particle2,57,12.0,-0.249,57,-0.000249,True
particle2,58,12.1,-0.253,58,-0.000253,True
particle2,59,12.2,-0.257,59,-0.000257,True
particle2,60,12.3,-0.262,60,-0.000262,True
particle2,61,12.4,-0.27,61,-0.00027,True
particle2,62,12.5,-0.276,62,-0.00027600000000000004,True
particle2,63,12.6,-0.283,63,-0.000283,True
particle2,64,12.7,-0.287,64,-0.000287,True
particle2,65,12.8,-0.293,65,-0.00029299999999999997,True
particle2,66,12.9,-0.301,66,-0.000301,True
particle2,67,13.0,-0.306,67,-0.000306,True
particle2,68,13.1,-0.314,68,-0.000314,True
particle2,69,13.2,-0.318,69,-0.00031800000000000003,True
particle2,70,13.3,-0.323,70,-0.000323,True
particle2,71,13.4,-0.328,71,-0.000328,True
particle2,72,13.5,-0.332,72,-0.00033200000000000005,True
particle2,73,13.6,-0.339,73,-0.00033900000000000005,True
particle2,74,13.7,-0.345,74,-0.000345,True
particle2,75,13.8,-0.353,75,-0.00035299999999999996,True
particle2,76,13.9,-0.359,76,-0.000359,True
particle2,77,14.0,-0.365,77,-0.000365,True
particle2,78,14.1,-0.366,78,-0.000366,True
particle2,79,14.2,-0.376,79,-0.00037600000000000003,True
particle2,80,14.3,-0.381,80,-0.000381,True
particle2,81,14.4,-0.391,81,-0.000391,True
