particle_id,analysis_index,source_index,t,x_raw_mm,x_mm,x_m,was_interpolated
particle5,0,0,0.0,-0.005065,-0.005065,-5.065e-06,False
particle5,1,1,0.1,-0.005105,-0.005105,-5.105e-06,False
particle5,2,2,0.2,-0.00483,-0.00483,-4.83e-06,False
particle5,3,3,0.3,-0.004972,-0.004972,-4.972e-06,False
particle5,4,4,0.4,-0.004874,-0.004874,-4.874e-06,False
particle5,5,5,0.5,-0.006459,-0.006459,-6.459e-06,False
particle5,6,6,0.6,-0.002725,-0.002725,-2.725e-06,False
particle5,7,7,0.7,0.0001395,0.0001395,1.395e-07,False
particle5,8,8,0.8,-0.0004279,-0.0004279,-4.279e-07,False
particle5,9,9,0.9,0.002021,0.002021,2.021e-06,False
particle5,10,10,1.0,0.0007779,0.0007779,7.779e-07,False
particle5,11,11,1.1,-0.001044,-0.001044,-1.044e-06,False
particle5,12,12,1.2,-6.694e-05,-6.694e-05,-6.694e-08,False
particle5,13,13,1.3,-0.001616,-0.001616,-1.616e-06,False
particle5,14,14,1.4,-0.0004349,-0.0004349,-4.349e-07,False
particle5,15,15,1.5,-0.0008186,-0.0008186,-8.186e-07,False
particle5,16,16,1.6,0.001916,0.001916,1.916e-06,False
particle5,17,17,1.7,0.005501,0.005501,5.5009999999999995e-06,False
particle5,18,18,1.8,0.00212,0.00212,2.12e-06,False
particle5,19,19,1.9,0.001196,0.001196,1.196e-06,False
particle5,20,20,2.0,0.005456,0.005456,5.456e-06,False
particle5,21,21,2.1,0.004061,0.004061,4.061000000000001e-06,False
particle5,22,22,2.2,0.004709,0.004709,4.709e-06,False
particle5,23,23,2.3,0.004595,0.004595,4.595e-06,False
particle5,24,24,2.4,0.005258,0.005258,5.2579999999999995e-06,False
particle5,25,25,2.5,0.004243,0.004243,4.243000000000001e-06,False
particle5,26,26,2.6,0.004143,0.004143,4.143e-06,False
particle5,27,27,2.7,0.004694,0.004694,4.694e-06,False
particle5,28,28,2.8,0.008369,0.008369,8.369e-06,False
particle5,29,29,2.9,0.007598,0.007598,7.598e-06,False
particle5,30,30,3.0,0.00657,0.00657,6.570000000000001e-06,False
particle5,31,31,3.1,0.007447,0.007447,7.447e-06,False
particle5,32,32,3.2,0.007896,0.007896,7.896e-06,False
particle5,33,33,3.3,0.01156,0.01156,1.1560000000000001e-05,False
particle5,34,34,3.4,0.01266,0.01266,1.2659999999999999e-05,False
particle5,35,35,3.5,0.01351,0.01351,1.351e-05,False
particle5,36,36,3.6,0.01455,0.01455,1.4550000000000001e-05,False
particle5,37,37,3.7,0.01371,0.01371,1.3710000000000001e-05,False
particle5,38,38,3.8,0.01211,0.01211,1.211e-05,False
particle5,39,39,3.9,0.0119,0.0119,1.1900000000000001e-05,False
particle5,40,40,4.0,0.014,0.014,1.4e-05,False
particle5,41,41,4.1,0.01334,0.01334,1.334e-05,False
particle5,42,42,4.2,0.0127,0.0127,1.27e-05,False
particle5,43,43,4.3,0.0117,0.0117,1.17e-05,False
particle5,44,44,4.4,0.01122,0.01122,1.1220000000000001e-05,False
particle5,45,45,4.5,0.007337,0.007337,7.337e-06,False
particle5,46,46,4.6,0.006118,0.006118,6.1180000000000005e-06,False
particle5,47,47,4.7,0.002891,0.002891,2.891e-06,False
particle5,48,48,4.8,0.000839,0.000839,8.39e-07,False
particle5,49,49,4.9,0.0007038,0.0007038,7.038e-07,False
particle5,50,50,5.0,0.0007809,0.0007809,7.809e-07,False
particle5,51,51,5.1,0.00353,0.00353,3.53e-06,False
particle5,52,52,5.2,0.006052,0.006052,6.052e-06,False
particle5,53,53,5.3,0.005358,0.005358,5.358e-06,False
particle5,54,54,5.4,0.007177,0.007177,7.177e-06,False
particle5,55,55,5.5,0.006477,0.006477,6.477e-06,False
particle5,56,56,5.6,0.006846,0.006846,6.846e-06,False
particle5,57,57,5.7,0.003264,0.003264,3.264e-06,False
particle5,58,58,5.8,0.001444,0.001444,1.444e-06,False
particle5,59,59,5.9,0.004156,0.004156,4.156e-06,False
particle5,60,60,6.0,-0.001122,-0.001122,-1.122e-06,False
particle5,61,61,6.1,-0.003127,-0.003127,-3.127e-06,False
particle5,62,62,6.2,-0.004468,-0.004468,-4.468e-06,False
particle5,63,63,6.3,-0.004397,-0.004397,-4.3969999999999996e-06,False
particle5,64,64,6.4,-0.004387,-0.004387,-4.3870000000000005e-06,False
particle5,65,65,6.5,-0.002009,-0.002009,-2.009e-06,False
particle5,66,66,6.6,-0.0006268,-0.0006268,-6.268e-07,False
particle5,67,67,6.7,-0.005035,-0.005035,-5.035000000000001e-06,False
particle5,68,68,6.8,-0.007542,-0.007542,-7.542e-06,False
particle5,69,69,6.9,-0.008983,-0.008983,-8.983e-06,False
particle5,70,70,7.0,-0.009631,-0.009631,-9.631000000000001e-06,False
particle5,71,71,7.1,-0.008675,-0.008675,-8.675e-06,False
particle5,72,72,7.2,-0.005473,-0.005473,-5.473e-06,False
particle5,73,73,7.3,-0.006924,-0.006924,-6.924e-06,False
particle5,74,74,7.4,-0.00771,-0.00771,-7.71e-06,False
particle5,75,75,7.5,-0.007397,-0.007397,-7.3970000000000005e-06,False
particle5,76,76,7.6,-0.009466,-0.009466,-9.466e-06,False
particle5,77,77,7.7,-0.009283,-0.009283,-9.282999999999999e-06,False
particle5,78,78,7.8,-0.01033,-0.01033,-1.0330000000000001e-05,False
particle5,79,79,7.9,-0.008751,-0.008751,-8.751e-06,False
particle5,80,80,8.0,-0.006323,-0.006323,-6.3229999999999994e-06,False
particle5,81,81,8.1,-0.007109,-0.007109,-7.109e-06,False
particle5,82,82,8.2,-0.006894,-0.006894,-6.894e-06,False
particle5,83,83,8.3,-0.01033,-0.01033,-1.0330000000000001e-05,False
particle5,84,84,8.4,-0.009418,-0.009418,-9.418e-06,False
particle5,85,85,8.5,-0.007052,-0.007052,-7.052e-06,False
particle5,86,86,8.6,-0.007852,-0.007852,-7.852e-06,False
particle5,87,87,8.7,-0.007672,-0.007672,-7.672e-06,False
particle5,88,88,8.8,-0.007066,-0.007066,-7.066000000000001e-06,False
particle5,89,89,8.9,-0.007467,-0.007467,-7.467e-06,False
particle5,90,90,9.0,-0.007579,-0.007579,-7.579e-06,False
particle5,91,91,9.1,-0.008586,-0.008586,-8.586e-06,False
particle5,92,92,9.2,-0.006408,-0.006408,-6.4079999999999995e-06,False
particle5,93,93,9.3,-0.002933,-0.002933,-2.9329999999999997e-06,False
particle5,94,94,9.4,-0.002207,-0.002207,-2.2070000000000002e-06,False
particle5,95,95,9.5,-0.003847,-0.003847,-3.847000000000001e-06,False
particle5,96,96,9.6,-0.004518,-0.004518,-4.518000000000001e-06,False
particle5,97,97,9.7,-0.0003898,-0.0003898,-3.898e-07,False
particle5,98,98,9.8,-0.0002866,-0.0002866,-2.866e-07,False
particle5,99,99,9.9,-0.0003966,-0.0003966,-3.966e-07,False
particle5,100,100,10.0,0.0001092,0.0001092,1.092e-07,False
particle5,101,101,10.1,-0.0006088,-0.0006088,-6.088000000000001e-07,False
particle5,102,102,10.2,-0.0006153,-0.0006153,-6.153000000000001e-07,False
particle5,103,103,10.3,0.004165,0.004165,4.165000000000001e-06,False
particle5,104,104,10.4,-0.0004365,-0.0004365,-4.3649999999999997e-07,False
particle5,105,105,10.5,0.0009138,0.0009138,9.138e-07,False
particle5,106,106,10.6,0.0007671,0.0007671,7.671e-07,False
particle5,107,107,10.7,-0.0007629,-0.0007629,-7.628999999999999e-07,False
particle5,108,108,10.8,-0.001753,-0.001753,-1.753e-06,False
particle5,109,109,10.9,-0.002114,-0.002114,-2.114e-06,False
particle5,110,110,11.0,-0.00104,-0.00104,-1.04e-06,False
particle5,111,111,11.1,0.0001994,0.0001994,1.994e-07,False
particle5,112,112,11.2,0.0004476,0.0004476,4.476e-07,False
particle5,113,113,11.3,-0.0004142,-0.0004142,-4.142e-07,False
particle5,114,114,11.4,-0.000527,-0.000527,-5.27e-07,False
particle5,115,115,11.5,-0.0006602,-0.0006602,-6.602e-07,False
particle5,116,116,11.6,0.0002116,0.0002116,2.116e-07,False
