drop_id,frame,time_s,x_px,y_px,x_um,y_um,source_video
drop1,0,0.0,624.2561170685467,531.2967889092956,1486.3538147402096,1265.0176543930327,brownian
drop1,1,0.1,621.0289085199424,530.435828955478,1478.6698311859827,1262.967708742993,brownian
drop1,2,0.2,622.2746717424267,532.2871890828145,1481.6359934187178,1267.3757972061812,brownian
drop1,3,0.3,622.5828240286266,531.1770163716394,1482.36970401216,1264.7324759808732,brownian
drop1,4,0.4,618.686217552534,532.3957354758961,1473.0918839925832,1267.6342461681086,brownian
drop1,5,0.5,617.933555968621,530.8060552597586,1471.2997967612864,1263.8492175734852,brownian
drop1,6,0.6,620.312242439612,531.0015849870031,1476.963449248716,1264.3147738540542,brownian
drop1,7,0.7,620.1909712552988,528.3721959219035,1476.6747025588663,1258.0541984900522,brownian
drop1,8,0.8,618.8018763475322,526.9242177029311,1473.3672675834741,1254.6065623506788,brownian
drop1,9,0.9,618.0679737772273,527.1098154134316,1471.619845563578,1255.0484704993805,brownian
drop1,10,1.0,619.7177624063968,528.4129648432543,1475.5479922896307,1258.1512692917884,brownian
drop1,11,1.1,622.33677948481,528.168216472219,1481.7838719533324,1257.5685234203534,brownian
drop1,12,1.2,618.0744657413527,527.3712586158059,1471.6353029301606,1255.6709667642338,brownian
drop1,13,1.3,619.9938166789478,526.9319514304937,1476.2052775125746,1254.6249763560054,brownian
drop1,14,1.4,616.6254762863604,531.9000340757722,1468.185259037824,1266.4539811344134,brownian
drop1,15,1.5,617.8484113229347,528.0786828422877,1471.0970673599074,1257.355343847487,brownian
drop1,16,1.6,615.1849764975292,529.9704411232976,1464.755429040617,1261.8596203145717,brownian
drop1,17,1.7,616.462613833643,524.8715926050011,1467.7974835379039,1249.7192619925074,brownian
drop1,18,1.8,615.9199384141648,526.9957363652513,1466.5053733641262,1254.7768482856634,brownian
drop1,19,1.9,614.8009402914904,526.844099670898,1463.8410388340385,1254.415801316408,brownian
drop1,20,2.0,614.9075809064058,527.3517642201543,1464.094950138152,1255.6245506081873,brownian
drop1,21,2.1,616.8521307173206,528.8286990752312,1468.7249232379402,1259.1411324981252,brownian
drop1,22,2.2,614.6237870116945,526.1449676536452,1463.4192368748445,1252.751167983329,brownian
drop1,23,2.3,614.5556928626298,524.2029324337865,1463.2571047059214,1248.1271821248456,brownian
drop1,24,2.4,613.7765140654369,528.0700882474753,1461.4018799898051,1257.3348801172385,brownian
drop1,25,2.5,612.7224577572965,526.5605529953917,1458.8921719201228,1253.7406766820277,brownian
drop1,26,2.6,615.2107427322655,529.3533944848607,1464.816778445524,1260.3904322684532,brownian
drop1,27,2.7,614.3648327602376,528.1315411065958,1462.8026668021257,1257.4811993748044,brownian
drop1,28,2.8,610.4660331321434,526.5018299730319,1453.5196248876332,1253.600857165789,brownian
drop1,29,2.9,615.2057389694539,528.1331379203949,1464.8048644862697,1257.4850013884602,brownian
drop1,30,3.0,608.7770057604371,527.9564107132253,1449.4980507156006,1257.0642139081892,brownian
drop1,31,3.1,609.7934273700533,525.7865684549548,1451.918150568097,1251.8978194912472,brownian
drop1,32,3.2,610.3084479371316,527.764928260999,1453.1444145383102,1256.6082941894385,brownian
drop1,33,3.3,609.8410866799927,528.4277363862136,1452.0316273850626,1258.1864403355744,brownian
drop1,34,3.4,611.6170508024617,525.4483226740679,1456.2601979606611,1251.0924562869554,brownian
drop1,35,3.5,610.2307759985923,524.0479793536277,1452.9594776526483,1247.7582388409876,brownian
drop1,36,3.6,612.438188350315,525.9353318805584,1458.2153264621,1252.2520252076092,brownian
drop1,37,3.7,611.6875248180013,526.1374586366644,1456.427996591661,1252.7332890138978,brownian
drop1,38,3.8,604.3907957244655,526.7006828978622,1439.0544846199523,1254.0743259798098,brownian
drop1,39,3.9,607.3001186980696,528.5767789092272,1445.9815826201036,1258.5413105828698,brownian
drop1,40,4.0,606.359707870902,528.3715078453885,1443.7424644406174,1258.0525601798697,brownian
drop1,41,4.1,605.5489931116311,528.7702119244586,1441.8121525987935,1259.001874592136,brownian
drop1,42,4.2,607.9604486051771,527.8040022618749,1447.5538281289266,1256.7013293855239,brownian
drop1,43,4.3,609.5758500570302,529.5080304571658,1451.4000989857886,1260.7586205185116,brownian
drop1,44,4.4,610.346359223301,531.4043689320388,1453.2346813106794,1265.2738024271841,brownian
drop1,45,4.5,610.6400351442378,528.5394933372382,1453.9339236784301,1258.452533635964,brownian
