drop_id,lag_s,lag_frames,sample_count,mean_dx_um,msd_um2,mean_dx_m,msd_m2
all,1.0,10,4785,-0.06386812451672245,66.90377528819211,-6.386812451672246e-08,6.69037752881921e-11
all,2.0,20,4775,-0.10574020753203928,110.61269501308227,-1.0574020753203928e-07,1.1061269501308227e-10
all,3.0,30,4765,-0.1250339390208965,153.74791817691974,-1.2503393902089649e-07,1.5374791817691973e-10
all,4.0,40,4755,-0.11628755431260189,199.61773742995155,-1.1628755431260189e-07,1.9961773742995154e-10
all,5.0,50,4745,-0.10602037870606894,244.44312354997635,-1.0602037870606893e-07,2.444431235499763e-10
all,6.0,60,4735,-0.09696707796357781,282.7637543774234,-9.696707796357781e-08,2.8276375437742343e-10
all,7.0,70,4725,-0.08047990876239719,318.27778029852027,-8.047990876239719e-08,3.182777802985203e-10
all,8.0,80,4715,-0.08587452917569727,352.36912885150537,-8.587452917569727e-08,3.5236912885150537e-10
all,9.0,90,4705,-0.12311180316934298,385.60439069613915,-1.2311180316934298e-07,3.8560439069613913e-10
all,10.0,100,4695,-0.1809474977834819,418.15261215939563,-1.809474977834819e-07,4.181526121593956e-10
all,11.0,110,4685,-0.2803980740942287,448.81984833141485,-2.8039807409422865e-07,4.4881984833141485e-10
all,12.0,120,4675,-0.37704405796773055,483.01981681921706,-3.7704405796773053e-07,4.83019816819217e-10
all,13.0,130,4665,-0.4965957280117048,517.445524494695,-4.965957280117048e-07,5.174455244946949e-10
all,14.0,140,4655,-0.630554021239174,556.1636268921111,-6.30554021239174e-07,5.561636268921111e-10
all,15.0,150,4645,-0.7503042129956075,596.7643860659795,-7.503042129956075e-07,5.967643860659795e-10
all,16.0,160,4635,-0.8629584916300211,637.6673577300631,-8.629584916300211e-07,6.376673577300631e-10
all,17.0,170,4625,-0.9788825544029255,679.765582713153,-9.788825544029254e-07,6.79765582713153e-10
all,18.0,180,4615,-1.0957805308087252,717.5981565230632,-1.095780530808725e-06,7.175981565230631e-10
all,19.0,190,4605,-1.23649970279234,754.2551978228832,-1.23649970279234e-06,7.542551978228832e-10
all,20.0,200,4595,-1.3971895376932215,789.088006382751,-1.3971895376932215e-06,7.89088006382751e-10
drop1,1.0,10,4785,-0.06386812451672245,66.90377528819211,-6.386812451672246e-08,6.69037752881921e-11
drop1,2.0,20,4775,-0.10574020753203928,110.61269501308227,-1.0574020753203928e-07,1.1061269501308227e-10
drop1,3.0,30,4765,-0.1250339390208965,153.74791817691974,-1.2503393902089649e-07,1.5374791817691973e-10
drop1,4.0,40,4755,-0.11628755431260189,199.61773742995155,-1.1628755431260189e-07,1.9961773742995154e-10
drop1,5.0,50,4745,-0.10602037870606894,244.44312354997635,-1.0602037870606893e-07,2.444431235499763e-10
drop1,6.0,60,4735,-0.09696707796357781,282.7637543774234,-9.696707796357781e-08,2.8276375437742343e-10
drop1,7.0,70,4725,-0.08047990876239719,318.27778029852027,-8.047990876239719e-08,3.182777802985203e-10
drop1,8.0,80,4715,-0.08587452917569727,352.36912885150537,-8.587452917569727e-08,3.5236912885150537e-10
drop1,9.0,90,4705,-0.12311180316934298,385.60439069613915,-1.2311180316934298e-07,3.8560439069613913e-10
drop1,10.0,100,4695,-0.1809474977834819,418.15261215939563,-1.809474977834819e-07,4.181526121593956e-10
drop1,11.0,110,4685,-0.2803980740942287,448.81984833141485,-2.8039807409422865e-07,4.4881984833141485e-10
drop1,12.0,120,4675,-0.37704405796773055,483.01981681921706,-3.7704405796773053e-07,4.83019816819217e-10
drop1,13.0,130,4665,-0.4965957280117048,517.445524494695,-4.965957280117048e-07,5.174455244946949e-10
drop1,14.0,140,4655,-0.630554021239174,556.1636268921111,-6.30554021239174e-07,5.561636268921111e-10
drop1,15.0,150,4645,-0.7503042129956075,596.7643860659795,-7.503042129956075e-07,5.967643860659795e-10
drop1,16.0,160,4635,-0.8629584916300211,637.6673577300631,-8.629584916300211e-07,6.376673577300631e-10
drop1,17.0,170,4625,-0.9788825544029255,679.765582713153,-9.788825544029254e-07,6.79765582713153e-10
drop1,18.0,180,4615,-1.0957805308087252,717.5981565230632,-1.095780530808725e-06,7.175981565230631e-10
drop1,19.0,190,4605,-1.23649970279234,754.2551978228832,-1.23649970279234e-06,7.542551978228832e-10
drop1,20.0,200,4595,-1.3971895376932215,789.088006382751,-1.3971895376932215e-06,7.89088006382751e-10
